質問,選択肢数,選択肢１,選択肢2,選択肢3,選択肢4,選択肢5,理解力,自己分析力,意欲,コミュニケーション能力
志望動機はありますか,2,Yes,No,,,,0,0,0,0
あなたが受ける会社の企業理念をしっていますか,2,Yes,No,,,,2,0,0,0
あなたが受ける会社の業務方針を知っていますか,2,Yes,No,,,,2,0,0,0
あなたが受ける会社の基本方針(社会貢献等)を知っていますか,2,Yes,No,,,,2,0,0,0
入社後でやりたいと思っている業務はありますか,2,Yes,No,,,,1,0,1,0
入社後で配属を希望する部署はありますか,2,Yes,No,,,,2,0,1,0
あなたが受ける会社のSNSはチェックしてますか,2,Yes,No,,,,1,0,0,0
あなたが受ける会社のHPはチェックしてますか,2,Yes,No,,,,2,0,0,0
あなたが受ける会社についての求人サイトや求人広告は確認したことがありますか,2,Yes,No,,,,1,0,0,0
あなたが受ける会社が属する業界・職種については調べていますか,2,Yes,No,,,,1,0,0,0
あなたが受ける会社の社長の顔と名前はわかりますか,2,Yes,No,,,,1,0,0,0
自分自身の強みは明確に言えますか,2,Yes,No,,,,0,1,0,0
あなたの強み(長所)となるに至った出来事や強みを活かせたエピソードは具体的に話せますか,2,Yes,No,,,,0,2,0,0
自分の弱み(短所)は明確に言えますか,2,Yes,No,,,,0,1,0,0
あなたが受ける会社に入社後のあなたの展望はありますか,2,Yes,No,,,,0,2,0,0
あなたが受ける会社を志望するに至った明確なきっかけはありますか,2,Yes,No,,,,0,3,0,0
あなたが受ける会社へのきっかけとは違う明確な志望理由がありますか,2,Yes,No,,,,0,2,0,0
挫折経験はありますか,2,Yes,No,,,,0,0,0,0
それから学んだことや，次に生かせたことはありますか,2,Yes,No,,,,0,2,0,0
あなたは交友関係の中でどのような立ち位置にいますか,5,リーダー,サポート役,ムードメーカー,相談役,わからない,0,1,0,0
あなたがなりたい社会人像はありますか,2,Yes,No,,,,0,1,1,0
好きな教科はありますか,2,Yes,No,,,,0,0,1,0
普段家では決まってすることはありますか,2,Yes,No,,,,0,0,0,0
それには目的意思が伴っていますか,2,Yes,No,,,,0,0,2,0
学生時代、部活動を積極的に行っていましたか,2,Yes,No,,,,0,0,2,0
学生時代、ボランティアなどは自主的に行っていましたか,2,Yes,No,,,,0,0,3,0
趣味は多いほうですか,3,多い,普通,少ない,,,0,0,2,0
わからないことをすぐに人に聞けますか,2,Yes,No,,,,0,0,2,0
友達が髪型を変えたのですが、まったく似合っていません。感想を求められたとき、あなたは嘘をつかずに褒めますか,2,Yes,No,,,,0,0,0,1
友達数人と旅行に行く予定があります。あなたには行きたい場所があるのですが、他のところに行きたいと思っている人もいるようです。あなたは意見を最後の方に述べますか,2,Yes,No,,,,0,0,0,1
話していて「この人苦手だな」と思ったとき、あなたはいつもより饒舌に(口数が多く)なりますか,2,Yes,No,,,,0,0,0,2
あまりよく知らない人がいる飲み会で、あなたは周りに自分のキャラを合わせますか,2,Yes,No,,,,0,0,0,1
レストランのテーブル席で会話をしているとき、あなたは脚をじっとさせていますか,2,Yes,No,,,,0,0,0,1
友達の恋人から言い寄られてしまいました。断るのなら、そのことをその友達に隠しますか,2,Yes,No,,,,0,0,0,3
話は面白いが嘘をつくおじさんか、普段は優しいが酔っぱらうと説教を始めるおじさん。あなたはどちらが嫌ですか？,2,前者,後者,,,,0,0,0,2
恋人のお母さんから借りていた傘を壊してしまいました。あなたは正直に伝えますか,2,Yes,No,,,,0,0,0,2
自分は悪くないのに謝らなければいけないとき、勝った気がしますか？それとも負けた気がしますか？,2,前者,後者,,,,0,0,0,2
